occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.19972843,0.42939093,0.54418402,0.62364431,0.48287261,0.54455863,0.46941725,0.68796825
0.31990023,0.5800113,0.60301678,0.67898931,0.52904568,0.74074242,0.4918536,0.68363491
0.49803314,0.61014235,0.55978968,1.21736763,0.66716662,0.68667414,0.52382394,0.56451679
0.33003626,0.64522291,0.49624021,0.54241358,0.65092295,0.79473399,0.53234962,0.58611368
0.35351617,0.47168636,0.59129766,0.65770735,0.6231057,0.62576867,0.75637383,0.5968279
0.27640322,0.39788625,0.59150114,0.50117085,0.52317597,0.80855226,0.72190385,0.64315946
0.27230637,0.34747165,0.4819725,0.64593927,0.41769504,0.42920963,0.69704652,0.68454998
0.29847341,0.28568793,0.43761857,0.43040594,0.4980023,0.57686417,0.59138116,0.46975222
0.26445841,0.32287087,0.3478431,0.41713308,0.59893245,0.66668602,0.45760537,0.42929406
0.26786583,0.45971678,0.41746557,0.42870037,0.53817026,0.53909404,0.43742198,0.51847382
0.21146542,0.29223147,0.29474242,0.37803761,0.41836179,0.40252039,0.44726583,0.44554244
0.29489952,0.27097283,0.19696976,0.35252637,0.39998962,0.29019013,0.41002438,0.27844967
0.28914307,0.29244408,0.21035712,0.28858818,0.31234753,0.30196705,0.36186462,0.24193665
0.26381424,0.24570105,0.13816095,0.20991042,0.22392819,0.22643045,0.31813584,0.20939427
0.05630027,0.03472762,0.00433333,0.19512617,0.13212471,0.18382836,0.10862025,0.13054795
0.13999188,0.0125,0.06936244,0.2019733,0.12943713,0.2587351,0.15375901,0.12535149
0.1,0.01985013,0.02076624,0.19855418,0.1071825,0.24223834,0.12749134,0.11350727
0.1,0.00433333,0.01884657,0.18048251,0.13388999,0.22668009,0.1277201,0.06605316
0.1,0.0075,0.0196162,0.14747024,0.04639876,0.18786546,0.11783003,0.050783
0.1,0.00508333,0.015,0.12554694,0.03440019,0.17088462,0.09299879,0.04546531
0.01325,0.015,0.0575,0.13712092,0.17342456,0.09062251,0.02554909,0.03595555
0.05,0.0075,0.015,0.13351259,0.16358232,0.07534411,0.06692441,0.09458175
0.01676849,0.05139889,0.055,0.02307589,0.16978627,0.03551537,0.08439925,0.12044799
0.01159842,0.01518919,0.065,0.04919337,0.16260904,0.06662905,0.08851945,0.11365854
0.01294726,0.04985732,0.015,0.1867731,0.08590888,0.24697957,0.08425918,0.06759942
0.055,0.0075,0.06,0.19442718,0.08643898,0.21080774,0.1070179,0.07933653
0.03450373,0.4285,0.05195367,0.12008333,0.08232163,0.1417997,0.11582273,0.24608875
0.15741591,0.77201697,0.11412765,0.29913124,0.1344022,0.33732963,0.31734386,0.29623437
0.181036,0.31232047,0.22356509,0.46368347,0.29596307,0.4878369,0.5419581,0.47486126
0.28618032,0.3374097,0.29420821,0.51987904,0.52732663,0.46759234,0.58111179,0.57365393
0.26521852,0.34381375,0.22460503,0.34543157,0.6523095,0.58259326,0.54017793,0.7425053
0.10067386,0.30130446,0.38818568,0.29359745,0.38677487,0.37702509,0.31065838,0.57745583
0.0773323,0.29550106,0.54229925,0.31435898,1.1607435,0.44952803,0.39556888,0.4416831
0.13678909,0.22878764,0.36320001,0.32084744,1.44673946,0.52067054,0.45041466,0.34138165
0.10563148,0.16521387,0.31081524,0.58586836,0.19343355,0.34701834,0.31400974,0.33375182
0.14198864,0.12268271,0.20733829,0.30558511,0.19430131,0.20013602,0.30658284,0.18966492
0.06475194,0.10058639,0.31901031,0.29685518,0.20699264,0.24988439,0.25557074,0.17232572
0.1290893,0.23726073,0.30610625,0.75849852,0.20482611,0.18709441,0.27963675,0.10595742
0.29728811,0.16696768,0.20833333,0.46314029,0.41452568,0.21005401,0.34715334,0.31387037
0.15310601,0.24115187,0.2814773,0.39688382,0.36238478,0.32588646,0.5583124,0.21187866
0.19122946,0.19197257,0.24888681,0.20881417,0.26230251,0.42214209,0.68931155,0.27277756
0.17790924,0.10709602,0.32320369,0.33408364,0.3221982,0.30038523,0.32843181,0.37855083
0.161,0.09740067,0.24087911,0.26221062,0.14986413,0.21729187,0.26036298,0.16470398
0.07366667,0.05,0.30206115,0.28342286,0.10114215,0.32767778,0.24141272,0.16218258
0.035,0.07265,0.17891331,0.20012296,0.19042825,0.24748417,0.21002813,0.09380604
0.06031573,1.3037126,0.36709705,0.24067652,0.35369421,0.247178,0.31591824,0.27717797
0.12189145,0.23309835,0.49324336,0.50709491,0.3441438,0.47198001,0.42480232,0.55730799
1.19029502,0.44759866,0.67672386,0.67457344,0.44087329,0.54844261,0.76388723,0.57838772
0.89428779,0.45223443,0.92046996,0.74023225,0.64203595,0.83650643,1.37212963,0.89925658
0.54170559,0.41388696,0.56028549,0.61996507,0.77816102,0.64722785,1.14356157,0.71836832
0.37283078,0.49632483,0.47670988,0.54848597,0.78352414,0.64625061,0.95271367,0.73087014
0.36348334,0.34637604,0.53900522,0.60749708,0.72932712,0.76311691,2.05564722,1.0572458
0.34978126,0.3760406,0.98941167,0.63931559,0.62849265,0.70635943,1.27714544,1.46301796
0.37664644,0.39487985,0.64374203,0.63500971,0.50063693,0.62520568,1.23001679,0.71326695
0.32330341,0.4382497,0.56236866,0.59458924,0.69265007,0.63117768,1.2482972,0.43920369
0.26712436,0.6702527,0.40533306,0.59407015,0.47108793,0.47309232,0.6267083,0.6358745
0.33621209,1.02530749,0.26740556,0.57157478,0.50510363,0.59210504,0.4786694,0.46940247
0.26676333,0.34214251,0.29163179,0.44222947,0.50664341,0.48779003,0.49168182,0.5159426
0.262974,0.40096801,0.26051038,0.31150276,0.47344311,0.39230762,0.58474296,0.45073909
0.23009178,0.32639433,0.26081891,0.33413959,0.41928239,0.35123253,0.54841072,0.40182734
0.25585002,0.16253507,0.24274961,0.34305201,0.42634207,0.25265296,0.46621933,0.35916716
0.15072047,0.12027452,0.10986799,0.31316413,0.30167199,0.37585041,0.40735875,0.21550099
0.12137111,0.05559293,0.05610015,0.16797404,0.14579717,0.12330252,0.11418411,0.17142811
0.03066667,0.04621113,0.0025,0.25594438,0.18972823,0.11024089,0.22208622,0.16974011
0.04486484,0.04,0.02042071,0.21004742,0.11584503,0.08899698,0.21024044,0.16460596
0.065,0.00641667,0.0343143,0.10177743,0.12285088,0.08081001,0.20814683,0.12196343
0.05575,0.06245812,0.03458333,0.0730113,0.11877187,0.14230527,0.19339123,0.19065363
0.04,0.04340281,0.05196451,0.08356765,0.07415117,0.15645914,0.17861872,0.16881297
0.025,0.02436667,0.018024,0.17418949,0.06087947,0.1566037,0.17317025,0.15146761
0.055,0.01611667,0.01481253,0.15904899,0.10025185,0.07923707,0.06714841,0.06451095
0.055,0.045,0.03766063,0.04194755,0.07724603,0.05739492,0.17384138,0.04472429
0.005,0.0125,0.05,0.11437556,0.1245963,0.08235783,0.16601273,0.06485228
0.0175,0.01900833,0.055,0.07809713,0.07714996,0.11743262,0.16889408,0.08444479
0.07104187,0.04873333,0.07969435,0.11727211,0.08303638,0.08084737,0.134,0.05511667
0.0725,0.05107484,0.11193966,0.13564121,0.103905,0.06648977,0.09022033,0.21921266
0.04917947,0.10276578,0.12945756,0.31129742,0.22869401,0.23568906,0.16781391,0.31748947
0.12561924,0.22536484,0.16812129,0.40426893,0.4146303,0.29480173,0.3479179,0.40227182
0.14404839,0.2870744,0.16053858,0.56274814,0.53217779,0.48914588,0.63486321,0.69174322
0.14260017,0.38920919,0.28436939,0.7636255,1.3005872,0.49038213,0.6130142,0.45587443
0.16236185,0.30961664,0.43522983,0.60851478,1.0856387,0.46889599,0.37092863,0.44593115
0.1424378,0.23223357,0.32410728,0.45174772,0.28130719,0.38990735,0.32825516,0.60834679
0.13501594,0.10028954,0.22481505,0.40232907,0.18806527,0.32510023,0.32427821,0.42300364
0.09697699,0.15199072,0.28065212,0.18412314,0.09445257,0.19236839,0.21818709,0.39743327
0.11763788,0.1196267,0.22380038,0.20695705,0.17848274,0.172759,0.14283251,0.34032364
0.1118984,0.12488797,0.19131687,0.23757293,0.223563,0.51801657,0.07589271,0.95203615
0.13279465,0.76404389,0.28170827,0.22752959,0.33010795,0.58461466,0.57418901,0.5603479
0.16151624,0.63908336,0.19465488,0.43486374,0.24550817,0.4170664,1.12867034,0.3432348
0.07397286,0.61549917,0.09227472,0.3756044,0.24116934,0.41602661,0.20898869,0.24716172
0.125,0.85382105,0.17941273,0.47640746,0.27651696,0.35570077,0.7505445,0.28070882
0.26308333,0.38139379,0.14118539,0.33179759,0.54542506,0.20902581,0.89377971,0.32999537
0.10091667,0.24545024,0.14550723,0.24923453,0.30688176,0.33108061,0.30246967,0.28750824
0.1083164,0.15365117,0.31813127,0.14430543,0.18707433,0.16936884,0.29054741,0.31504444
0.06300647,0.10617885,0.12738592,0.20366009,0.31172702,0.15815281,0.22296309,0.19639679
0.13027913,0.30702089,0.20420374,0.32911685,0.27464672,0.44620486,0.43772623,0.48770585
0.17586015,0.30511174,0.39006312,0.47286872,0.38380958,0.41410502,0.5696032,0.47417606
0.2674457,0.38243582,0.47517508,0.66677813,0.60968531,0.57345589,0.52123973,0.56079279
0.83336986,0.84214914,0.89858267,0.52897439,0.64641734,0.64940042,0.5894045,0.6577764
