occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.19231942,0.22554193,0.322479465,0.29880062,0.36966855,0.366736115,0.349016085,0.339371715
0.1836562,0.1813867,0.389342035,0.45328339,0.44251047,0.30040241,0.35731065,0.359999025
0.160885475,0.3028396,0.408313435,0.4229663,0.32209211,0.27297266,0.329559245,0.46387711
0.149537375,0.223522255,0.32008968,0.404438045,0.339383315,0.340481965,0.27491715,0.43930782
0.146372415,0.166884425,0.215690775,0.600684595,0.30540236,0.5040024,0.244940675,0.356740705
0.14093774,0.190993785,0.215962365,0.702208525,0.249430075,0.270459585,0.24082349,0.260096895
0.126333745,0.194341395,0.252327435,0.58328443,0.279523395,0.225346185,0.23149909,0.222694525
0.107931395,0.19292302,0.18028805,0.564358525,0.224866915,0.235549485,0.22482919,0.21261972
0.112543925,0.173636215,0.185226285,0.283630115,0.20657739,0.221108945,0.274388455,0.260914815
0.10096594,0.198234085,0.15107133,0.182255975,0.173586905,0.194194415,0.24634023,0.172339135
0.09732266,0.19603116,0.17364155,0.239942805,0.15221938,0.153775515,0.209196925,0.2066769
0.10584918,0.12513282,0.132232995,0.12495064,0.16241156,0.12367402,0.18276961,0.154297145
0.115305545,0.118076385,0.05889089,0.12631751,0.183615735,0.116985475,0.140739635,0.148566385
0.03534765,0.01689068,0.00625,0.07148303,0.061727745,0.07005884,0.065368225,0.04225859
0.044342885,0.026800135,0.031304295,0.081598195,0.129314515,0.077746355,0.09544029,0.066958525
0.037706095,0.011943665,0.014081925,0.0508821,0.1123914,0.08127451,0.07338445,0.11192958
0.04677065,0.012502165,0.01025,0.04558687,0.079311365,0.05659337,0.066409015,0.077096975
0.045131965,0.019240395,0.01625,0.07010225,0.06719107,0.06389648,0.075971195,0.042229195
0.037987485,0.01125,0.00625,0.037437585,0.03898984,0.02135617,0.059268195,0.057765235
0.03167617,0.0025,0.006291665,0.065737465,0.078211275,0.01473036,0.02354904,0.0509288
0.01962852,0.003708335,0.019583335,0.045744845,0.036040775,0.02443203,0.033252435,0.03810497
0.02125,0.01125,0.03090327,0.04373863,0.0377471,0.055599745,0.12483631,0.033428625
0.03232811,0.02375,0.00875,0.03108238,0.044587585,0.05099512,0.103592985,0.065
0.00834645,0.0225,0.04088049,0.04071501,0.027375,0.052650665,0.09017187,0.05625
0.013812315,0.01833484,0.03853516,0.040198075,0.017546415,0.057626545,0.06318797,0.0525
0.0175,0.024610765,0.01426388,0.060396525,0.042375,0.056272725,0.03375,0.057604495
0.01983254,0.01625,0.037316625,0.100717635,0.093145675,0.12342656,0.092743985,0.095226445
