timestamp,DSP
20160415 22:00,-0.24
20160415 22:30,-0.24
20160415 23:00,-0.275
20160415 23:30,-0.275
20160416 00:00,-0.221
20160416 00:30,-0.221
20160416 01:00,-0.231
20160416 01:30,-0.231
20160416 02:00,-0.251
20160416 02:30,-0.251
20160416 03:00,-0.275
20160416 03:30,-0.275
20160416 04:00,-0.275
20160416 04:30,-0.275
20160416 05:00,-0.275
20160416 05:30,-0.275
20160416 06:00,-0.137
20160416 06:30,-0.137
20160416 07:00,-0.137
20160416 07:30,-0.137
20160416 08:00,-0.137
20160416 08:30,-0.137
20160416 09:00,-0.137
20160416 09:30,-0.137
20160416 10:00,-0.157
20160416 10:30,-0.157
20160416 11:00,-0.167
20160416 11:30,-0.167
20160416 12:00,-0.177
20160416 12:30,-0.187
20160416 13:00,-0.187
20160416 13:30,-0.177
20160416 14:00,-0.167
20160416 14:30,-0.167
20160416 15:00,-0.157
20160416 15:30,-0.157
20160416 16:00,-0.157
20160416 16:30,-0.157
20160416 17:00,1
20160416 17:30,1
20160416 18:00,1
20160416 18:30,1
20160416 19:00,1
20160416 19:30,1
20160416 20:00,1
20160416 20:30,1
20160416 21:00,-0.24
20160416 21:30,-0.24
20160416 22:00,-0.24
20160416 22:30,-0.24
20160416 23:00,-0.275
20160416 23:30,-0.275
20160417 00:00,-0.221
20160417 00:30,-0.221
20160417 01:00,-0.231
20160417 01:30,-0.231
20160417 02:00,-0.251
20160417 02:30,-0.251
20160417 03:00,-0.275
20160417 03:30,-0.275
20160417 04:00,-0.275
20160417 04:30,-0.275
20160417 05:00,-0.275
20160417 05:30,-0.275
20160417 06:00,-0.137
20160417 06:30,-0.137
20160417 07:00,-0.137
20160417 07:30,-0.137
20160417 08:00,-0.137
20160417 08:30,-0.137
20160417 09:00,-0.137
20160417 09:30,-0.137
20160417 10:00,-0.157
20160417 10:30,-0.157
20160417 11:00,-0.167
20160417 11:30,-0.167
20160417 12:00,-0.177
20160417 12:30,-0.187
20160417 13:00,-0.187
20160417 13:30,-0.177
20160417 14:00,-0.167
20160417 14:30,-0.167
20160417 15:00,-0.157
20160417 15:30,-0.157
20160417 16:00,-0.157
20160417 16:30,-0.157
20160417 17:00,1
20160417 17:30,1
20160417 18:00,1
20160417 18:30,1
20160417 19:00,1
20160417 19:30,1
20160417 20:00,1
20160417 20:30,1
20160417 21:00,-0.24
20160417 21:30,-0.24
20160417 22:00,-0.24
20160417 22:30,-0.24
20160417 23:00,-0.275
20160417 23:30,-0.275
20160418 00:00,-0.221
20160418 00:30,-0.221
20160418 01:00,-0.231
20160418 01:30,-0.231
20160418 02:00,-0.251
20160418 02:30,-0.251
20160418 03:00,-0.275
20160418 03:30,-0.275
20160418 04:00,-0.275
20160418 04:30,-0.275
20160418 05:00,-0.275
20160418 05:30,-0.275
20160418 06:00,-0.137
20160418 06:30,-0.137
20160418 07:00,-0.137
20160418 07:30,-0.137
20160418 08:00,-0.137
20160418 08:30,-0.137
20160418 09:00,-0.137
20160418 09:30,-0.137
20160418 10:00,-0.157
20160418 10:30,-0.157
20160418 11:00,-0.167
20160418 11:30,-0.167
20160418 12:00,-0.177
20160418 12:30,-0.187
20160418 13:00,-0.187
20160418 13:30,-0.177
20160418 14:00,-0.167
20160418 14:30,-0.167
20160418 15:00,-0.157
20160418 15:30,-0.157
20160418 16:00,-0.157
20160418 16:30,-0.157
20160418 17:00,1
20160418 17:30,1
20160418 18:00,1
20160418 18:30,1
20160418 19:00,1
20160418 19:30,1
20160418 20:00,1
20160418 20:30,1
20160418 21:00,-0.24
20160418 21:30,-0.24
20160418 22:00,-0.24
20160418 22:30,-0.24
20160418 23:00,-0.275
20160418 23:30,-0.275
20160419 00:00,-0.221
20160419 00:30,-0.221
20160419 01:00,-0.231
20160419 01:30,-0.231
20160419 02:00,-0.251
20160419 02:30,-0.251
20160419 03:00,-0.275
20160419 03:30,-0.275
20160419 04:00,-0.275
20160419 04:30,-0.275
20160419 05:00,-0.275
20160419 05:30,-0.275
20160419 06:00,-0.137
20160419 06:30,-0.137
20160419 07:00,-0.137
20160419 07:30,-0.137
20160419 08:00,-0.137
20160419 08:30,-0.137
20160419 09:00,-0.137
20160419 09:30,-0.137
20160419 10:00,-0.157
20160419 10:30,-0.157
20160419 11:00,-0.167
20160419 11:30,-0.167
20160419 12:00,-0.177
20160419 12:30,-0.187
20160419 13:00,-0.187
20160419 13:30,-0.177
20160419 14:00,-0.167
20160419 14:30,-0.167
20160419 15:00,-0.157
20160419 15:30,-0.157
20160419 16:00,-0.157
20160419 16:30,-0.157
20160419 17:00,1
20160419 17:30,1
20160419 18:00,1
20160419 18:30,1
20160419 19:00,1
20160419 19:30,1
20160419 20:00,1
20160419 20:30,1
20160419 21:00,-0.24
20160419 21:30,-0.24
20160419 22:00,-0.24
20160419 22:30,-0.24
20160419 23:00,-0.275
20160419 23:30,-0.275
20160420 00:00,-0.221
20160420 00:30,-0.221
20160420 01:00,-0.231
20160420 01:30,-0.231
20160420 02:00,-0.251
20160420 02:30,-0.251
20160420 03:00,-0.275
20160420 03:30,-0.275
20160420 04:00,-0.275
20160420 04:30,-0.275
20160420 05:00,-0.275
20160420 05:30,-0.275
20160420 06:00,-0.137
20160420 06:30,-0.137
20160420 07:00,-0.137
20160420 07:30,-0.137
20160420 08:00,-0.137
20160420 08:30,-0.137
20160420 09:00,-0.137
20160420 09:30,-0.137
20160420 10:00,-0.157
20160420 10:30,-0.157
20160420 11:00,-0.167
20160420 11:30,-0.167
20160420 12:00,-0.177
20160420 12:30,-0.187
20160420 13:00,-0.187
20160420 13:30,-0.177
20160420 14:00,-0.167
20160420 14:30,-0.167
20160420 15:00,-0.157
20160420 15:30,-0.157
20160420 16:00,-0.157
20160420 16:30,-0.157
20160420 17:00,1
20160420 17:30,1
20160420 18:00,1
20160420 18:30,1
20160420 19:00,1
20160420 19:30,1
20160420 20:00,1
20160420 20:30,1
20160420 21:00,-0.24
20160420 21:30,-0.24
20160420 22:00,-0.24
20160420 22:30,-0.24
20160420 23:00,-0.275
20160420 23:30,-0.275
20160421 00:00,-0.221
20160421 00:30,-0.221
20160421 01:00,-0.231
20160421 01:30,-0.231
20160421 02:00,-0.251
20160421 02:30,-0.251
20160421 03:00,-0.275
20160421 03:30,-0.275
20160421 04:00,-0.275
20160421 04:30,-0.275
20160421 05:00,-0.275
20160421 05:30,-0.275
20160421 06:00,-0.137
20160421 06:30,-0.137
20160421 07:00,-0.137
20160421 07:30,-0.137
20160421 08:00,-0.137
20160421 08:30,-0.137
20160421 09:00,-0.137
20160421 09:30,-0.137
20160421 10:00,-0.157
20160421 10:30,-0.157
20160421 11:00,-0.167
20160421 11:30,-0.167
20160421 12:00,-0.177
20160421 12:30,-0.187
20160421 13:00,-0.187
20160421 13:30,-0.177
20160421 14:00,-0.167
20160421 14:30,-0.167
20160421 15:00,-0.157
20160421 15:30,-0.157
20160421 16:00,-0.157
20160421 16:30,-0.157
20160421 17:00,1
20160421 17:30,1
20160421 18:00,1
20160421 18:30,1
20160421 19:00,1
20160421 19:30,1
20160421 20:00,1
20160421 20:30,1
20160421 21:00,-0.24
20160421 21:30,-0.24
20160421 22:00,-0.24
20160421 22:30,-0.24
20160421 23:00,-0.275
20160421 23:30,-0.275
20160422 00:00,-0.221
20160422 00:30,-0.221
20160422 01:00,-0.231
20160422 01:30,-0.231
20160422 02:00,-0.251
20160422 02:30,-0.251
20160422 03:00,-0.275
20160422 03:30,-0.275
20160422 04:00,-0.275
20160422 04:30,-0.275
20160422 05:00,-0.275
20160422 05:30,-0.275
20160422 06:00,-0.137
20160422 06:30,-0.137
20160422 07:00,-0.137
20160422 07:30,-0.137
20160422 08:00,-0.137
20160422 08:30,-0.137
20160422 09:00,-0.137
20160422 09:30,-0.137
20160422 10:00,-0.157
20160422 10:30,-0.157
20160422 11:00,-0.167
20160422 11:30,-0.167
20160422 12:00,-0.177
20160422 12:30,-0.187
20160422 13:00,-0.187
20160422 13:30,-0.177
20160422 14:00,-0.167
20160422 14:30,-0.167
20160422 15:00,-0.157
20160422 15:30,-0.157
20160422 16:00,-0.157
20160422 16:30,-0.157
20160422 17:00,1
20160422 17:30,1
20160422 18:00,1
20160422 18:30,1
20160422 19:00,1
20160422 19:30,1
20160422 20:00,1
20160422 20:30,1
20160422 21:00,-0.24
20160422 21:30,-0.24
20160422 22:00,-0.24
20160422 22:30,-0.24
20160422 23:00,-0.275
20160422 23:30,-0.275
20160423 00:00,-0.221
20160423 00:30,-0.221
20160423 01:00,-0.231
20160423 01:30,-0.231
20160423 02:00,-0.251
20160423 02:30,-0.251
20160423 03:00,-0.275
20160423 03:30,-0.275
20160423 04:00,-0.275
20160423 04:30,-0.275
20160423 05:00,-0.275
20160423 05:30,-0.275
20160423 06:00,-0.137
20160423 06:30,-0.137
20160423 07:00,-0.137
20160423 07:30,-0.137
20160423 08:00,-0.137
20160423 08:30,-0.137
20160423 09:00,-0.137
20160423 09:30,-0.137
20160423 10:00,-0.157
20160423 10:30,-0.157
20160423 11:00,-0.167
20160423 11:30,-0.167
20160423 12:00,-0.177
20160423 12:30,-0.187
20160423 13:00,-0.187
20160423 13:30,-0.177
20160423 14:00,-0.167
20160423 14:30,-0.167
20160423 15:00,-0.157
20160423 15:30,-0.157
20160423 16:00,-0.157
20160423 16:30,-0.157
20160423 17:00,1
20160423 17:30,1
20160423 18:00,1
20160423 18:30,1
20160423 19:00,1
20160423 19:30,1
20160423 20:00,1
20160423 20:30,1
20160423 21:00,-0.24
20160423 21:30,-0.24
20160423 22:00,-0.24
20160423 22:30,-0.24
20160423 23:00,-0.275
20160423 23:30,-0.275
20160424 00:00,-0.221
20160424 00:30,-0.221
20160424 01:00,-0.231
20160424 01:30,-0.231
20160424 02:00,-0.251
20160424 02:30,-0.251
20160424 03:00,-0.275
20160424 03:30,-0.275
20160424 04:00,-0.275
20160424 04:30,-0.275
20160424 05:00,-0.275
20160424 05:30,-0.275
